,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,19854.33910001302,13180.027499969583,False,kijana,boy,ho
1,2,36850.407399993856,inf,False,maslahi,interest,intrest
2,3,49438.706499990076,3435.6003999710083,True,maziwa,milk,milk
3,4,56063.2503000088,3356.4036999596283,True,kanisa,church,church
4,5,62729.89889996825,1531.6894000279717,True,fasihi,book,book
5,6,66977.81379998196,2538.871900003869,True,elimu,science,science
6,7,73092.90389996022,5157.448900048621,True,jioni,evening,evening
7,8,81335.32909996575,17.19270000467077,False,keja,house,
8,9,83286.88530001091,1851.4514999696985,True,siri,secret,secret
9,10,88196.05440000305,2241.4891999796964,True,maji,ice,ice
10,11,93419.83029997209,1286.5396999986842,True,jicho,eye,eye
11,12,98250.83370000357,2295.582499995362,True,adui,enemy,enemy
12,13,104074.77080001263,3599.6218999498524,True,kichwa,head,head
13,14,110117.04589996953,5562.35350004863,True,tofaa,apple,apple
14,15,118166.953500011,15047.087899991311,False,kioo,mirror,
15,16,135165.21299997112,1541.0410999902524,True,baba,father,father
16,17,140419.58659997908,1411.2252999912016,True,dunia,world,world
17,18,144461.8365999777,1484.3237000168301,True,skati,skirt,skirt
18,19,149953.27890000772,1720.8859999664128,True,shukuru,thanks,thanks
19,20,155068.58329998795,2053.63480001688,True,mbwa,dog,dog
20,21,159438.53549996857,1683.5828000330366,True,lango,door,door
21,22,164203.26229999773,1246.8981000129133,True,farasi,horse,horse
22,23,168370.77249999857,4278.474599996116,True,ufu,death,death
23,24,175413.0933000124,1308.5762999835424,True,rangi,color,color
24,25,180182.83070001053,2251.292700006161,False,afisi,office,enemy
25,26,186147.1903999918,1956.3675000099465,True,bustani,garden,garden
26,27,190971.48690000176,1982.7292999834754,True,pombe,beer,beer
