,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,19714.87819997128,3095.5817999783903,False,duka,shop,door
1,2,25195.324299973436,1071.2456000037491,True,afisi,office,office
2,3,30797.609300003387,2006.701499922201,False,farasi,horse,book
3,4,35436.23889994342,4200.344100012444,False,dhoruba,storm,door
4,5,42527.326399926096,1292.0959000475705,True,kisu,knife,knife
5,6,46882.671599974856,1385.2084999671206,False,kichwa,head,food
6,7,51703.54719995521,1733.9109000749886,True,dunia,world,world
7,8,56126.58279994503,1539.5050999941304,True,kaputula,pants,pants
8,9,60560.12209993787,1970.0311000924557,True,lango,door,door
9,10,65205.0251000328,1011.6364998975769,True,jiwe,stone,stone
10,11,68994.54590003006,2423.2935999752954,True,likizo,holidays,holidays
11,12,75422.72209993098,3363.521600025706,False,duara,wheel,bear
12,13,81315.32439996954,3611.839000019245,False,kanisa,church,food
13,14,87360.81909993663,2145.306200021878,True,chakula,food,food
14,15,91944.43599996157,8856.172900064848,False,maslahi,interest,head
15,16,103822.33009999618,3364.204699988477,True,tabibu,doctor,doctor
16,17,110309.67059999239,902.8765000402927,True,siri,secret,secret
17,18,114188.19130002521,5195.296999998391,True,maji,ice,ice
18,19,121712.21679996233,inf,False,karamu,party,
19,20,138762.53119995818,2348.1903000501916,True,dubu,bear,bear
20,21,143688.73419996817,1387.145800050348,True,tunda,fruit,fruit
21,22,147761.3701999653,1604.3259999714792,False,chunga,pot,food
22,23,151907.12300001178,2448.3271000208333,False,fasihi,book,horse
23,24,157055.42829993647,4570.7124000182375,True,chapati,bread,bread
24,25,164331.44149999134,1161.0620999708772,True,bahari,sea,sea
25,26,167984.9508999614,4051.0939999949187,False,kamba,rope,dance
26,27,175311.18509999942,2748.3734999550506,False,kitanda,bed,dance
27,28,180799.05169992708,14302.320700022392,False,degaga,glasses,part
28,29,197816.0597999813,inf,False,sauti,voice,hello
