,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,30107.89659997681,4881.968599976972,False,likizo,holidays,pot
1,2,37705.779299954884,32.71560004213825,False,adui,enemy,
2,3,39688.35179996677,14071.096999978181,False,barua,letter,beer
3,4,56713.88499997556,4113.1954999873415,False,chunga,pot,shop
4,5,64226.9096999662,3030.673500034027,True,duka,shop,shop
5,6,70375.22339995485,1230.2080999943428,True,pombe,beer,beer
6,7,74489.4247999764,1299.5971000054851,True,maji,ice,ice
7,8,78470.8016999648,1864.3293000059202,True,karamu,party,party
8,9,83734.83459994895,1990.2442000457086,False,kioo,mirror,eye
9,10,88465.19729995634,1115.5154000152834,True,limau,lemon,lemon
10,11,92447.2813999746,1197.8760000201873,True,wimbo,song,song
11,12,96478.52629999397,1698.0581999523565,True,kijana,boy,boy
12,13,101809.53469994711,8045.094800007064,True,siri,secret,secret
13,14,113753.81519994698,1781.4480000524782,True,tofaa,apple,apple
14,15,118201.84969995171,3904.031300044153,False,wakati,alarm,holidays
15,16,125997.69169994397,8611.6130000446,True,kofia,hat,hat
16,17,137276.07269998407,2122.745800006669,False,baskeli,bike,bus
17,18,141823.89279996278,32.24030003184453,False,maumiva,pain,
18,19,143807.06510000164,7941.164799965918,False,dunia,world,
19,20,153702.1992999944,1135.7259999495,True,basi,bus,bus
20,21,157266.31469995482,1747.2423000144772,True,baba,father,father
21,22,161981.4805999631,8540.849899989553,False,jicho,eye,
22,23,172476.81029996602,1737.2546999831684,True,bustani,garden,garden
23,24,177207.71419996163,6561.910699994769,False,tabibu,doctor,
