,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,20729.610899999898,5786.423000000013,False,maliki,king,chair
1,2,29857.214999999997,5373.390400000062,False,ajabu,wonder,chair
2,3,38522.482899999886,1347.0916000001162,True,lugha,language,language
3,4,44376.19379999978,2884.970300000081,True,kiti,chair,chair
4,5,50384.90360000014,1819.880099999864,True,sauti,voice,voice
5,6,57754.98130000006,1522.695300000123,True,baba,father,father
6,7,62486.28169999983,11895.253099999987,False,afisi,office,scissorsbackslash
7,8,79631.6081,2671.29269999986,True,kazi,work,work
8,9,85306.27240000013,6264.283099999826,False,kofia,hat,office
9,10,94798.24539999981,6102.189300000202,True,kamba,rope,rope
10,11,103594.05900000001,2887.126099999936,False,bahari,sea,beer
11,12,109251.14870000017,1465.3170999999857,True,pombe,beer,beer
12,13,113482.57000000012,5819.932800000068,False,farasi,horse,iets
13,14,122226.044,2523.641400000095,True,wingu,cloud,cloud
14,15,128002.28030000016,2013.7709999999206,False,chanjo,scissors,friend
15,16,133122.6397999999,1712.1144000002532,False,shukuru,thanks,friend
16,17,138129.01400000008,8393.699899999774,False,fasihi,book,
17,18,148511.17059999978,1508.16400000031,True,rafiki,friend,friend
18,19,153258.9659,4735.233899999934,False,adhama,honor,letter
19,20,161014.54439999998,1216.9205000000075,True,limau,lemon,lemon
20,21,166094.97779999994,6336.273200000054,False,anga,sky,wind
