,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,21737.873299978673,inf,False,bustani,garden,
1,2,38704.88189999014,1641.8230999843217,True,tunda,fruit,fruit
2,3,42904.84179998748,4740.994599997066,False,jicho,eye,boz
3,4,52335.143300006166,4235.619699989911,True,basi,bus,bus
4,5,59262.570299964864,3311.3144000526518,True,kijana,boy,boy
5,6,68602.7590999729,2491.024999995716,False,keja,house,shop
6,7,74245.57979998644,1456.1786000267603,True,rangi,color,color
7,8,78661.68879996985,1656.115400022827,True,duka,shop,shop
8,9,83195.08139998652,1634.6691999933682,True,roho,soul,soul
9,10,87771.32110000821,7598.962899995968,False,kanisa,church,store
10,11,98492.50669998582,9281.218799995258,False,barua,letter,house
11,12,110492.32710001525,1129.4819999602623,True,rafiki,friend,friend
12,13,114359.46939996211,4462.267100054305,True,maji,ice,ice
13,14,121219.73329997854,1201.9878000137396,True,ufu,death,death
14,15,126037.63749997597,3112.0417999918573,True,wimbo,song,song
15,16,131582.90929999202,5231.086099985987,False,ujuzi,knowledge,death
16,17,139874.59700001637,7371.122299984563,False,kioo,mirror,soul
17,18,150534.27199996077,4959.392500051763,False,karamu,party,store
18,19,158170.92509998474,5354.762899980415,False,dhoruba,storm,doctor
19,20,166274.04980000574,1427.5987999862991,False,afisi,office,doctor
20,21,171165.1604999788,2343.8696000375785,True,pombe,beer,beer
21,22,176091.86449996196,4568.999700015411,False,chama,society,store
22,23,183419.0814999747,1980.9867999865673,True,siri,secret,secret
23,24,189431.3042999711,5062.323199992534,False,adui,enemy,doctor
24,25,197292.09160001483,4721.49939998053,False,tabibu,doctor,store
