,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,18514.657699968666,2496.199399989564,False,pombe,beer,banana
1,2,24248.37279994972,4453.989700006787,True,kitanda,bed,bed
2,3,31187.40539997816,5550.797600008082,False,kaputula,pants,potato
3,4,39951.53959997697,6335.225599992555,False,kazi,work,office
4,5,49394.17049998883,12116.61249998724,False,tabibu,doctor,
5,6,63448.167799972,5102.573200012557,False,degaga,glasses,
6,7,70484.68369996408,1266.1440999945626,True,chapati,bread,bread
7,8,75084.14669998456,4426.638500008266,False,anga,sky,
8,9,81447.99799995963,1180.7048000046052,True,siri,secret,secret
9,10,86035.80729995156,1658.8711000513285,True,jiwe,stone,stone
10,11,91877.83189996844,1478.4453000174835,True,wingu,cloud,cloud
11,12,96278.20999996038,1112.5404000049457,True,afisi,office,office
12,13,100311.08959997073,4503.6264000227675,False,tofaa,apple,
13,14,106750.68189995363,1688.0587000050582,True,kofia,hat,hat
14,15,110999.75959997391,1798.891399987042,False,lugha,language,lake
15,16,115223.59549999237,2087.1030999696814,True,askari,police,police
16,17,120277.90269994875,6208.7544000241905,False,dubu,bear,
17,18,128423.64609998185,1222.9794000159018,False,bibi,grandmother,grandma
18,19,133071.9478999963,2896.121400000993,True,maumiva,pain,pain
19,20,138653.46099995077,3502.2048000246286,False,maslahi,interest,hope
20,21,145350.41590000037,2664.1400999506004,False,maziwa,milk,science
21,22,151588.92339997692,inf,False,kijana,boy,
22,23,158059.88369998522,1738.6706999968737,True,maliki,king,king
23,24,162368.47609997494,4798.091900011059,True,ufu,death,death
24,25,170144.48499999708,1342.0915000024252,False,elimu,science,
25,26,173423.63729997305,1670.9940999862738,True,kuku,chicken,chicken
26,27,179350.20669997903,1728.3207000000402,False,tumaini,hope,interest
27,28,184677.78499994893,3835.6941000092775,False,saduku,box,
