,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,24358.95389999496,2108.2869000383653,True,samaki,fish,fish
1,2,29204.06170003116,2391.081399982795,True,kanisa,church,church
2,3,35640.57970000431,1884.6023000078276,True,dunia,world,world
3,4,40368.7854000018,1018.4162000077777,True,kioo,mirror,mirror
4,5,44196.22209999943,1056.5542000113055,True,jioni,evening,evening
5,6,48210.69909998914,2640.4544000397436,True,kamba,rope,rope
6,7,53629.075600008946,5822.067799977958,True,barua,letter,letter
7,8,62379.637800040655,2583.5148000041954,False,kisu,knife,hat
8,9,68560.34399999771,4643.48130003782,True,tunda,fruit,fruit
9,10,76282.94920001645,1704.1943999938667,True,elimu,science,science
10,11,81314.54739999026,1125.380000041332,True,saduku,box,box
11,12,84926.65169999236,4220.4737000283785,True,keja,house,house
12,13,91986.25160002848,1792.87080001086,True,roho,soul,soul
13,14,96604.39829999814,966.7029000120237,True,pombe,beer,beer
14,15,100772.32360001653,2222.831799997948,False,farasi,horse,party
15,16,106215.42090002913,2642.3219999996945,False,karamu,party,head
16,17,113719.49270000914,2186.779799987562,True,tumbili,monkey,monkey
17,18,119372.27220000932,2758.7847000104375,True,wimbo,song,song
18,19,124930.98920001648,2663.9906999771483,True,bahari,sea,sea
19,20,131434.45910001174,4096.588300017174,True,dubu,bear,bear
20,21,139792.9909999948,5834.092700039037,False,kazi,work,hat
21,22,148815.66800002474,3357.8182999626733,True,kichwa,head,head
22,23,156870.24499999825,2420.766299997922,True,kofia,hat,hat
23,24,161930.8727000025,6752.159300027415,False,limau,lemon,letter
24,25,171633.24649998685,5857.753700052854,False,ajabu,wonder,
25,26,179422.17390000587,1236.818100034725,True,siri,secret,secret
26,27,183954.41720000235,1136.5422999951988,True,wingu,cloud,cloud
27,28,187875.69479999365,9055.311800038908,False,skati,skirt,
28,29,198863.50750003476,5637.828100007027,True,maumiva,pain,pain
