,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,55547.19680000562,14510.107899899594,False,maziwa,milk,
1,2,72006.21269992553,2368.496400071308,False,kofia,hat,coffee
2,3,77469.30599992629,8984.196800040081,False,jiwe,stone,
3,4,88414.8321999237,4324.574600090273,False,maumiva,pain,
4,5,94695.76359994244,6561.304899980314,False,kazi,work,cat
5,6,104075.75189997442,6534.868899965659,False,lango,door,
6,7,112570.31819992699,1310.1659000385553,True,siri,secret,secret
7,8,117001.3780000154,1235.239699948579,True,mbwa,dog,dog
8,9,120833.11439992394,6213.052900042385,True,tabibu,doctor,doctor
9,10,130128.6350999726,13208.310300018638,False,kitanda,bed,
10,11,145288.391900016,1515.8151999348775,True,bibi,grandmother,grandmother
11,12,150586.18969994131,1631.3827000558376,True,chanjo,scissors,scissors
12,13,155666.60869994666,7810.628400067799,False,rafiki,friend,work
13,14,166611.58799997065,4130.511499941349,False,anga,sky,
14,15,172692.0843999833,6309.358299942687,False,wakati,alarm,
15,16,180955.60879993718,5446.993799996562,False,chunga,pot,
16,17,188368.42019995674,11343.904300010763,False,bustani,garden,
17,18,201661.7737999186,1397.1982999937609,True,wingu,cloud,cloud
18,19,205926.50209995918,1606.1392000410706,True,lugha,language,language
19,20,210691.47239997983,7446.839099982753,False,shukuru,thanks,
20,21,220087.11690001655,1764.5974999759346,True,afisi,office,office
21,22,224634.5440999139,1947.6613000733778,False,elimu,science,doctor
22,23,229481.96689994074,3961.232000030577,False,keja,house,
23,24,235395.94419999048,5857.832100009546,False,kaputula,pants,friend
24,25,244991.3758999901,4518.4625999536365,True,rangi,color,color
