,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,19082.4552,15016.5827,FALSE,chanjo,scissors,
1,2,36112.8214,15049.9958,FALSE,jiwe,stone,
2,3,53192.5315,inf,TRUE,lugha,language,language
3,4,68518.7571,14989.2353,FALSE,duka,shop,
4,5,85501.9298,41.4021,FALSE,sauti,voice,
5,6,87513.1182,1554.9018,TRUE,chapati,bread,bread
6,7,92852.5525,inf,FALSE,karamu,party,
7,8,109962.2257,13634.489,FALSE,kitanda,bed,
8,9,125568.6925,3072.6932,TRUE,kioo,mirror,mirror
9,10,131869.3962,1537.5812,TRUE,shukuru,thanks,thanks
10,11,136487.9384,4333.0683,FALSE,jioni,evening,boy
11,12,143710.4601,38.3281,FALSE,limau,lemon,
12,13,145720.8218,9127.9968,FALSE,chama,society,
13,14,156824.8543,inf,TRUE,farasi,horse,horse
14,15,162049.8914,1709.8125,TRUE,maziwa,milk,milk
15,16,166412.1733,1811.2388,TRUE,dunia,world,world
16,17,171413.2055,inf,FALSE,afisi,office,
17,18,184101.8923,15038.2092,FALSE,kichwa,head,
18,19,201150.9293,31.3202,FALSE,lango,door,
19,20,203150.0776,14995.3763,FALSE,tofaa,apple,
20,21,220142.3843,2155.7584,TRUE,wingu,cloud,cloud
21,22,226728.1852,1780.8151,TRUE,siri,secret,secret
22,23,231839.4516,8036.9305,FALSE,duara,wheel,
23,24,241838.4392,2726.6482,TRUE,kaputula,pants,pants
24,25,247617.1758,1528.5917,TRUE,dubu,bear,bear
25,26,251746.1058,4433.9555,FALSE,kamba,rope,
26,27,258153.3567,1373.7315,TRUE,kijana,boy,boy
27,28,262711.9961,15015.5757,FALSE,kazi,work,
28,29,279734.7714,25.5388,FALSE,elimu,science,
29,30,281712.993,15041.617,FALSE,kuku,chicken,
