,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,17754.15819999762,1810.6825000140816,True,limau,lemon,lemon
1,2,22619.88489999203,4875.723000033759,True,farasi,horse,horse
2,3,30532.394899986684,1655.4909000406042,True,fasihi,book,book
3,4,35080.60899999691,5873.908600013237,True,maslahi,interest,interest
4,5,44925.19540002104,14992.279099998996,False,maji,ice,
5,6,61918.35190000711,1330.7884000241756,True,tumbili,monkey,monkey
6,7,66499.30730002234,1281.2259999918751,True,rafiki,friend,friend
7,8,71163.33060001489,1297.1956999972463,True,baba,father,father
8,9,75494.56720001763,15008.821099996567,False,shukuru,thanks,
9,10,92503.62920004409,1985.9981999616139,True,ufu,death,death
10,11,97684.24850003794,4562.978499976452,False,duka,shop,bed
11,12,104881.40589999966,1481.3738000229932,True,samaki,fish,fish
12,13,109579.08910000697,15059.135199990124,False,barua,letter,
13,14,126637.36819999758,1219.587700034026,True,tofaa,apple,apple
14,15,130819.43350000074,3196.9046000158414,True,kisu,knife,knife
15,16,137132.88540003123,11986.462600005325,False,lugha,language,l
16,17,154124.7633000021,15041.704100032803,False,kitanda,bed,
17,18,171166.60050000064,14075.880700023845,False,wimbo,song,
18,19,187209.32449999964,11510.011900041718,False,chama,society,
19,20,200686.20719999308,5547.824300010689,False,jiwe,stone,
20,21,208199.61940002395,2447.566499991808,True,kioo,mirror,mirror
21,22,213829.76260001305,8912.46050002519,True,chunga,pot,pot
22,23,225541.8239000137,2051.0495000053197,False,maliki,king,head
23,24,230539.1993999947,3696.6977000120096,True,siri,secret,secret
24,25,237669.33529998641,2991.4748000446707,True,kichwa,head,head
25,26,243917.3926000367,11046.653700002935,False,kiti,chair,
26,27,256945.00690000132,1031.4266000059433,True,kazi,work,work
27,28,260841.98710002238,10161.763700016309,True,degaga,glasses,glasses
28,29,274154.825500038,8825.405399955343,False,ujuzi,knowledge,
