,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,57335.256499936804,4937.509600073099,True,limau,lemon,lemon
1,2,67012.49090000056,3048.194099916145,True,wimbo,song,song
2,3,73067.37739988603,15057.022799970582,False,elimu,science,
3,4,90079.96369991452,6592.714000027627,False,chapati,bread,party
4,5,99761.27649983391,1510.0649001542479,True,jioni,evening,evening
5,6,104686.10499985516,4563.584299990907,True,fasihi,book,book
6,7,112724.97169999406,1487.0709998067468,True,kioo,mirror,mirror
7,8,117008.83029983379,1354.501400142908,True,kofia,hat,hat
8,9,121385.96530002542,1411.2375997938216,True,maumiva,pain,pain
9,10,125391.72669989057,1037.359300069511,True,anga,sky,sky
10,11,128824.90589981899,1627.9853000305593,True,bustani,garden,garden
11,12,133454.8948998563,6015.142400050536,True,likizo,holidays,holidays
12,13,143616.72950000502,1186.2969999201596,True,rafiki,friend,friend
13,14,147387.3560000211,15023.209899896756,False,sauti,voice,
14,15,164364.27379981615,15051.115700043738,False,kamba,rope,
15,16,181372.91269982234,1681.5833000000566,True,dhoruba,storm,storm
16,17,186025.0997999683,5815.102000022307,False,samaki,fish,box
17,18,194633.01859982312,15003.00889997743,False,karamu,party,
18,19,211589.2943998333,1394.7735000401735,True,chanjo,scissors,scissors
19,20,217976.3875999488,1031.892400002107,True,bahari,sea,sea
20,21,221538.0738999229,1728.9821000304073,True,barua,letter,letter
21,22,226194.22909989953,1348.1332000810653,True,kijana,boy,boy
22,23,230358.6758999154,1209.785700077191,True,kuku,chicken,chicken
23,24,234538.82030001841,9394.467999925837,False,kanisa,church,box
24,25,246706.58009988256,2561.8758001364768,True,saduku,box,box
25,26,251846.49079991505,1018.3556000702083,True,lango,door,door
26,27,255376.3579998631,1482.2218001354486,True,baskeli,bike,bike
27,28,259941.77429983392,4456.110700033605,True,shukuru,thanks,thanks
28,29,267308.99799987674,8478.530900087208,True,wakati,alarm,alarm
